location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
7936,Los Angeles - N. Mai,co,0.4,ppm,2024-04-03T07:00:00+00:00,2024-04-03T00:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.6,ppm,2024-04-03T08:00:00+00:00,2024-04-03T01:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.6,ppm,2024-04-03T09:00:00+00:00,2024-04-03T02:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.5,ppm,2024-04-03T10:00:00+00:00,2024-04-03T03:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.6,ppm,2024-04-03T11:00:00+00:00,2024-04-03T04:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.6,ppm,2024-04-03T12:00:00+00:00,2024-04-03T05:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.6,ppm,2024-04-03T13:00:00+00:00,2024-04-03T06:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.8,ppm,2024-04-03T14:00:00+00:00,2024-04-03T07:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.7,ppm,2024-04-03T15:00:00+00:00,2024-04-03T08:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.6,ppm,2024-04-03T16:00:00+00:00,2024-04-03T09:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.4,ppm,2024-04-03T17:00:00+00:00,2024-04-03T10:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.3,ppm,2024-04-03T18:00:00+00:00,2024-04-03T11:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.3,ppm,2024-04-03T19:00:00+00:00,2024-04-03T12:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.4,ppm,2024-04-03T20:00:00+00:00,2024-04-03T13:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.3,ppm,2024-04-03T21:00:00+00:00,2024-04-03T14:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.2,ppm,2024-04-03T22:00:00+00:00,2024-04-03T15:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
